passengers	seats	code_dep	code_arr
23.763	30.411	ES_GCFV	BE_EBBR
80.269	85.971	ES_GCFV	DE_EDDF
54.024	57.668	ES_GCFV	DE_EDDH
45.558	50.309	ES_GCFV	DE_EDDK
108.749	116.488	ES_GCFV	DE_EDDL
59.289	68.901	ES_GCFV	DE_EDDM
38.824	41.454	ES_GCFV	DE_EDDN
29.129	33.878	ES_GCFV	DE_EDDP
64.343	68.329	ES_GCFV	DE_EDDS
31.225	36.731	ES_GCFV	DE_EDDT
53.217	58.302	ES_GCFV	DE_EDDV
20.095	22.299	ES_GCFV	DE_EDLP
321.151	482.479	ES_GCFV	ES_GCLP
113.481	191.36	ES_GCFV	ES_GCXO
20.489	23.723	ES_GCFV	ES_LEBB
188.183	225.824	ES_GCFV	ES_LEMD
23.455	27.558	ES_GCFV	ES_LEST
52.351	59.363	ES_GCFV	IE_EIDW
31.968	39.932	ES_GCFV	IT_LIMC
67.664	80.367	ES_GCFV	NL_EHAM
36.986	39.044	ES_GCFV	UK_EGBB
95.059	102.006	ES_GCFV	UK_EGCC
93.836	102.222	ES_GCFV	UK_EGKK
20.635	22.047	ES_GCFV	UK_EGNT
22.989	24.55	ES_GCFV	UK_EGNX
22.374	23.78	ES_GCFV	UK_EGPF
12.617	20.918	ES_GCHI	ES_GCLP
75.337	111.586	ES_GCHI	ES_GCXO
13.124	16.164	ES_GCLA	DE_EDDF
16.054	30.799	ES_GCLA	DE_EDDL
23.287	30.076	ES_GCLA	DE_EDDM
7.147	11.685	ES_GCLA	DE_EDDS
67.772	101.339	ES_GCLA	ES_GCLP
317.314	470.042	ES_GCLA	ES_GCXO
56.362	75.032	ES_GCLA	ES_LEMD
17.404	27.482	ES_GCLA	NL_EHAM
49.054	56.943	ES_GCLP	BE_EBBR
98.327	117.305	ES_GCLP	DE_EDDF
65.647	80.751	ES_GCLP	DE_EDDH
46.472	58.638	ES_GCLP	DE_EDDK
97.862	112.939	ES_GCLP	DE_EDDL
79.697	104.035	ES_GCLP	DE_EDDM
48.568	52.857	ES_GCLP	DE_EDDN
63.593	81.39	ES_GCLP	DE_EDDS
52.747	66.809	ES_GCLP	DE_EDDV
40.911	42.623	ES_GCLP	DK_EKBI
56.869	62.994	ES_GCLP	DK_EKCH
318.696	475.866	ES_GCLP	ES_GCFV
67.314	99.218	ES_GCLP	ES_GCLA
308.164	491.78	ES_GCLP	ES_GCRR
70.109	153.217	ES_GCLP	ES_GCTS
360.278	531.696	ES_GCLP	ES_GCXO
46.229	56.369	ES_GCLP	ES_LEBB
165.727	213.895	ES_GCLP	ES_LEBL
773.642	941.204	ES_GCLP	ES_LEMD
44.812	61.823	ES_GCLP	ES_LEMG
76.657	91.398	ES_GCLP	ES_LEZL
62.335	68.996	ES_GCLP	FI_EFHK
67.671	74.933	ES_GCLP	IE_EIDW
139.486	164.114	ES_GCLP	NL_EHAM
93.612	103.257	ES_GCLP	NO_ENGM
69.688	74.762	ES_GCLP	SE_ESSA
45.232	48.644	ES_GCLP	UK_EGBB
125.297	135.419	ES_GCLP	UK_EGCC
155.022	172.25	ES_GCLP	UK_EGKK
46.699	50.224	ES_GCLP	UK_EGNX
62.369	66.799	ES_GCLP	UK_EGPF
38.953	46.143	ES_GCRR	DE_EDDF
47.58	60.01	ES_GCRR	DE_EDDL
313.655	500.037	ES_GCRR	ES_GCLP
149.29	250.092	ES_GCRR	ES_GCXO
74.934	86.551	ES_GCRR	ES_LEBB
118.248	151.903	ES_GCRR	ES_LEBL
310.265	371.674	ES_GCRR	ES_LEMD
41.215	44.73	ES_GCRR	IE_EICK
111.138	118.592	ES_GCRR	IE_EIDW
48.225	69.621	ES_GCRR	NL_EHAM
66.559	72.227	ES_GCRR	UK_EGBB
173.202	188.319	ES_GCRR	UK_EGCC
176.167	197.191	ES_GCRR	UK_EGKK
48.873	51.816	ES_GCRR	UK_EGNX
57.345	60.525	ES_GCRR	UK_EGPF
106.58	121.457	ES_GCTS	BE_EBBR
87.853	111.993	ES_GCTS	DE_EDDF
59.308	74.267	ES_GCTS	DE_EDDH
91.781	113.653	ES_GCTS	DE_EDDL
68.579	84.325	ES_GCTS	DE_EDDM
43.459	49.624	ES_GCTS	DE_EDDN
53.035	65.297	ES_GCTS	DE_EDDS
36.816	49.395	ES_GCTS	DE_EDDT
46.159	58.488	ES_GCTS	DE_EDDV
35.507	37.302	ES_GCTS	DK_EKBI
35.817	39.037	ES_GCTS	DK_EKCH
81.693	177.514	ES_GCTS	ES_GCLP
90.251	114.462	ES_GCTS	ES_LEBB
84.5	108.149	ES_GCTS	ES_LEBL
266.578	321.041	ES_GCTS	ES_LEMD
40.829	56.447	ES_GCTS	ES_LEMG
48.795	57.002	ES_GCTS	ES_LEST
39.256	42.136	ES_GCTS	FI_EFHK
59.903	69.133	ES_GCTS	IE_EIDW
88.943	112.954	ES_GCTS	NL_EHAM
37.585	41.183	ES_GCTS	RU_UUDD
128.28	147.187	ES_GCTS	UK_EGBB
333.304	362.729	ES_GCTS	UK_EGCC
62.079	65.29	ES_GCTS	UK_EGGD
72.076	87.198	ES_GCTS	UK_EGGW
281.541	313.527	ES_GCTS	UK_EGKK
92.967	102.506	ES_GCTS	UK_EGNT
76.185	81.38	ES_GCTS	UK_EGNX
146.102	154.888	ES_GCTS	UK_EGPF
80.551	86.856	ES_GCTS	UK_EGSS
114.56	191.401	ES_GCXO	ES_GCFV
76.294	111.583	ES_GCXO	ES_GCHI
310.073	470.153	ES_GCXO	ES_GCLA
362.49	533.158	ES_GCXO	ES_GCLP
153.837	249.904	ES_GCXO	ES_GCRR
24.517	26.067	ES_GCXO	ES_LEBB
168.369	201.113	ES_GCXO	ES_LEBL
591.996	722.278	ES_GCXO	ES_LEMD
99.773	115.268	ES_GCXO	ES_LEZL
25.775	30.733	ES_GCXO	IE_EIDW
11.983	19.844	ES_GEML	ES_LEAM
9.921	16.763	ES_GEML	ES_LEBL
