passengers	seats	code_dep	code_arr
43.952	72.405	AT_LOWG	AT_LOWW
23.41	41.37	AT_LOWG	CH_LSZH
59.988	117.689	AT_LOWG	DE_EDDF
8.211	12.019	AT_LOWG	EL_LGTS
9.318	15.776	AT_LOWG	ES_GCLP
7.649	14.427	AT_LOWG	ES_GCTS
7.604	12.989	AT_LOWG	ES_LEPA
11.821	16.544	AT_LOWG	TR_LTAI
11.611	50.286	AT_LOWI	AT_LOWS
54.221	98.288	AT_LOWI	AT_LOWW
22.121	46.662	AT_LOWI	CH_LSZH
28.421	52.418	AT_LOWI	DE_EDDF
13.43	17.011	AT_LOWI	TR_LTAI
10.211	12.354	AT_LOWI	UK_EGCC
21.783	24.778	AT_LOWI	UK_EGKK
45.379	87.166	AT_LOWK	AT_LOWW
13.141	26.748	AT_LOWK	CH_LSZH
15.704	35.24	AT_LOWK	DE_EDDF
18.779	49.426	AT_LOWL	AT_LOWW
23.539	57.012	AT_LOWL	CH_LSZH
63.306	131.566	AT_LOWL	DE_EDDF
12.089	38.365	AT_LOWL	DE_EDDL
10.995	14.751	AT_LOWL	EL_LGIR
15.149	22.754	AT_LOWL	ES_GCLP
10.855	20.009	AT_LOWL	ES_GCTS
9.496	15.646	AT_LOWL	ES_LEPA
11.842	16.514	AT_LOWL	TN_DTMB
8.651	10.708	AT_LOWL	TR_LTAG
24.911	32.008	AT_LOWL	TR_LTAI
22.668	62.435	AT_LOWS	AT_LOWW
36.371	87.323	AT_LOWS	CH_LSZH
57.82	106.496	AT_LOWS	DE_EDDF
16.175	32.53	AT_LOWS	DE_EDDL
14.734	21.965	AT_LOWS	ES_GCLP
14.14	21.248	AT_LOWS	ES_GCTS
15.399	22.431	AT_LOWS	ES_LEPA
10.709	18.276	AT_LOWS	FR_LFPO
19.365	52.124	AT_LOWS	NL_EHAM
31.553	45.079	AT_LOWS	TR_LTAI
12.386	14.34	AT_LOWS	UK_EGBB
22.817	28.555	AT_LOWS	UK_EGCC
61.306	80.496	AT_LOWS	UK_EGKK
40.901	73.006	AT_LOWW	AT_LOWG
55.323	102.643	AT_LOWW	AT_LOWI
45.294	87.54	AT_LOWW	AT_LOWK
132.721	314.912	AT_LOWW	BE_EBBS
52.259	106.369	AT_LOWW	CH_LSGG
202.277	368.843	AT_LOWW	CH_LSZH
54.408	99.604	AT_LOWW	CZ_LKPR
268.958	508.007	AT_LOWW	DE_EDDF
40.431	76.302	AT_LOWW	DE_EDDH
84.255	221.988	AT_LOWW	DE_EDDL
122.042	274.927	AT_LOWW	DE_EDDM
44.751	96.995	AT_LOWW	DE_EDDS
59.919	142.764	AT_LOWW	DE_EDDT
96.087	185.913	AT_LOWW	DK_EKCH
72.355	142.941	AT_LOWW	EL_LGAT
41.671	68.047	AT_LOWW	EL_LGTS
48.351	82.04	AT_LOWW	ES_LEBL
46.405	79.284	AT_LOWW	ES_LEMD
42.623	54.762	AT_LOWW	ES_LEPA
185.692	383.908	AT_LOWW	FR_LFPG
38.756	115.927	AT_LOWW	HU_LHBP
51.138	79.613	AT_LOWW	IL_LLBG
71.114	160.291	AT_LOWW	IT_LIML
72.999	151.157	AT_LOWW	IT_LIRF
159.379	273.105	AT_LOWW	NL_EHAM
60.908	102.33	AT_LOWW	PL_EPWA
71.089	126.228	AT_LOWW	RU_UUEE
68.416	146.928	AT_LOWW	SE_ESSA
52.897	90.878	AT_LOWW	TH_VTBD
80.642	97.642	AT_LOWW	TR_LTAI
100.181	150.247	AT_LOWW	TR_LTBA
285.223	382.726	AT_LOWW	UK_EGGG
100.726	143.353	AT_LOWW	UK_EGKK
75.869	101.007	AT_LOWW	US_KJFK
20.545	:	UK_EGAA	CA_CYYZ
20.358	:	UK_EGAA	ES_GCLP
17.89	:	UK_EGAA	ES_GCRR
32.071	:	UK_EGAA	ES_GCTS
17.051	:	UK_EGAA	ES_LEMG
12.34	:	UK_EGAA	ES_LEMH
49.4	:	UK_EGAA	ES_LEPA
13.796	:	UK_EGAA	ES_LERS
32.585	:	UK_EGAA	IE_EINN
15.817	:	UK_EGAA	NL_EHAM
15.467	:	UK_EGAA	PT_LPFR
13.445	:	UK_EGAA	US_KSFB
61.939	:	UK_EGBB	BE_EBBR
29.133	:	UK_EGBB	CY_LCLK
22.328	:	UK_EGBB	CY_LCPH
90.444	:	UK_EGBB	DE_EDDF
94.781	:	UK_EGBB	DE_EDDL
45.293	:	UK_EGBB	DE_EDDM
22.062	:	UK_EGBB	DE_EDDS
25.283	:	UK_EGBB	DK_EKCH
28.139	:	UK_EGBB	EL_LGKR
48.521	:	UK_EGBB	ES_GCLP
43.585	:	UK_EGBB	ES_GCRR
97.724	:	UK_EGBB	ES_GCTS
58.375	:	UK_EGBB	ES_LEAL
25.708	:	UK_EGBB	ES_LEBL
41.667	:	UK_EGBB	ES_LEIB
77.26	:	UK_EGBB	ES_LEMG
42.306	:	UK_EGBB	ES_LEMH
133.073	:	UK_EGBB	ES_LEPA
190.91	:	UK_EGBB	FR_LFPG
268.736	:	UK_EGBB	IE_EIDW
29.786	:	UK_EGBB	IT_LIML
33.229	:	UK_EGBB	MT_LMML
134.265	:	UK_EGBB	NL_EHAM
53.631	:	UK_EGBB	PT_LPFR
24.581	:	UK_EGBB	TR_LTBJ
36.548	:	UK_EGBB	TR_LTBS
37.531	:	UK_EGBB	US_KJFK
47.03	:	UK_EGBB	US_KORD
124.171	:	UK_EGCC	BE_EBBR
69.318	:	UK_EGCC	CA_CYYZ
82.583	:	UK_EGCC	CH_LSZH
71.09	:	UK_EGCC	CY_LCLK
78.668	:	UK_EGCC	CY_LCPH
127.867	:	UK_EGCC	DE_EDDF
86.254	:	UK_EGCC	DE_EDDL
43.87	:	UK_EGCC	DE_EDDM
82.035	:	UK_EGCC	DK_EKCH
48.341	:	UK_EGCC	DO_MDPP
54.121	:	UK_EGCC	EL_LGIR
44.343	:	UK_EGCC	EL_LGKO
69.658	:	UK_EGCC	EL_LGKR
52.008	:	UK_EGCC	EL_LGRP
39.084	:	UK_EGCC	EL_LGZA
56.675	:	UK_EGCC	ES_GCFV
134.095	:	UK_EGCC	ES_GCLP
141.185	:	UK_EGCC	ES_GCRR
344.644	:	UK_EGCC	ES_GCTS
250.127	:	UK_EGCC	ES_LEAL
38.313	:	UK_EGCC	ES_LEBL
52.36	:	UK_EGCC	ES_LEGE
141.612	:	UK_EGCC	ES_LEIB
258.059	:	UK_EGCC	ES_LEMG
98.087	:	UK_EGCC	ES_LEMH
361.061	:	UK_EGCC	ES_LEPA
48.867	:	UK_EGCC	ES_LERS
230.305	:	UK_EGCC	FR_LFPG
302.219	:	UK_EGCC	IE_EIDW
37.823	:	UK_EGCC	IT_LIML
105.223	:	UK_EGCC	MT_LMML
236.62	:	UK_EGCC	NL_EHAM
74.873	:	UK_EGCC	PK_OPRN
171.344	:	UK_EGCC	PT_LPFR
56.663	:	UK_EGCC	TN_DTMB
79.13	:	UK_EGCC	TR_LTBJ
125.873	:	UK_EGCC	TR_LTBS
69.512	:	UK_EGCC	US_KATL
62.345	:	UK_EGCC	US_KEWR
57.408	:	UK_EGCC	US_KJFK
177.74	:	UK_EGCC	US_KMCO
62.714	:	UK_EGCC	US_KORD
73.543	:	UK_EGCC	US_KSFB
20.591	:	UK_EGFF	ES_GCLP
42.242	:	UK_EGFF	ES_GCTS
24.006	:	UK_EGFF	ES_LEAL
24.134	:	UK_EGFF	ES_LEIB
25.148	:	UK_EGFF	ES_LEMG
14.059	:	UK_EGFF	ES_LEMH
65.94	:	UK_EGFF	ES_LEPA
12.443	:	UK_EGFF	FR_LFPG
38.055	:	UK_EGFF	IE_EIDW
40.08	:	UK_EGFF	NL_EHAM
14.601	:	UK_EGFF	PT_LPFR
11.608	:	UK_EGFF	TR_LTBJ
15.404	:	UK_EGFF	TR_LTBS
20.815	:	UK_EGGD	BE_EBBR
12.962	:	UK_EGGD	CY_LCLK
13.246	:	UK_EGGD	CY_LCPH
10.845	:	UK_EGGD	EL_LGIR
13.528	:	UK_EGGD	EL_LGKR
24.282	:	UK_EGGD	ES_GCLP
29.6	:	UK_EGGD	ES_GCRR
41.577	:	UK_EGGD	ES_GCTS
24.26	:	UK_EGGD	ES_LEAL
23.181	:	UK_EGGD	ES_LEIB
26.059	:	UK_EGGD	ES_LEMG
17.973	:	UK_EGGD	ES_LEMH
54.15	:	UK_EGGD	ES_LEPA
23.732	:	UK_EGGD	FR_LFPG
49.301	:	UK_EGGD	IE_EIDW
8.897	:	UK_EGGD	MT_LMML
27.815	:	UK_EGGD	NL_EHAM
23.948	:	UK_EGGD	PT_LPFR
22.403	:	UK_EGGD	TR_LTBS
12.673	:	UK_EGGP	ES_LEAL
7.925	:	UK_EGGP	ES_LEPA
78.36	:	UK_EGGP	IE_EIDW
10.81	:	UK_EGGP	PT_LPFR
9.257	:	UK_EGGP	TR_LTBS
25.203	:	UK_EGGW	CH_LSZH
56.599	:	UK_EGGW	CY_LCLK
59.059	:	UK_EGGW	CY_LCPH
14.279	:	UK_EGGW	DE_EDLN
11.192	:	UK_EGGW	EL_LGKR
