passengers	seats	code_dep	code_arr
29.406	36.498	ES_GCFV	CH_LSZH
98.403	106.656	ES_GCFV	DE_EDDF
69.607	77.225	ES_GCFV	DE_EDDH
53.387	62.276	ES_GCFV	DE_EDDK
134.654	146.781	ES_GCFV	DE_EDDL
74.2	84.918	ES_GCFV	DE_EDDM
30.007	34.681	ES_GCFV	DE_EDDN
31.248	35.746	ES_GCFV	DE_EDDP
63.293	68.64	ES_GCFV	DE_EDDS
24.718	27.369	ES_GCFV	DE_EDDT
76.611	84.133	ES_GCFV	DE_EDDV
25.594	30.386	ES_GCFV	DE_EDLP
204.59	261.611	ES_GCFV	ES_GCLP
82.869	104.662	ES_GCFV	ES_GCXO
53.196	65.68	ES_GCFV	ES_LEBL
132.782	158.894	ES_GCFV	ES_LEMD
51.616	58.86	ES_GCFV	FR_LFPG
26.149	30.645	ES_GCFV	FR_LFRS
25.643	28.887	ES_GCFV	FR_LFSB
44.923	52.083	ES_GCFV	IE_EIDW
19.602	25.163	ES_GCFV	IT_LIMC
35.207	39.072	ES_GCFV	IT_LIME
43.287	62.981	ES_GCFV	NL_EHAM
26.448	28.914	ES_GCFV	PL_EPWA
26.749	27.422	ES_GCFV	SE_ESSA
62.666	69.653	ES_GCFV	UK_EGBB
104.788	113.004	ES_GCFV	UK_EGCC
35.604	38.752	ES_GCFV	UK_EGGD
28.423	30.817	ES_GCFV	UK_EGGP
120.331	136.22	ES_GCFV	UK_EGKK
28.54	31.501	ES_GCFV	UK_EGNM
48.552	51.828	ES_GCFV	UK_EGNX
32.042	35.487	ES_GCFV	UK_EGPF
51.374	56.951	ES_GCFV	UK_EGSS
11.171	12.346	ES_GCLA	DE_EDDF
20.929	24.169	ES_GCLA	DE_EDDL
10.445	11.695	ES_GCLA	DE_EDDM
13.632	15.914	ES_GCLA	DE_EDDT
47.434	71.674	ES_GCLA	ES_GCLP
252.854	381.162	ES_GCLA	ES_GCXO
42.674	51.747	ES_GCLA	ES_LEMD
18.32	23.212	ES_GCLA	NL_EHAM
14.857	17.33	ES_GCLA	UK_EGKK
58.94	74.278	ES_GCLP	BE_EBBR
54.466	65.483	ES_GCLP	CH_LSZH
107.443	116.046	ES_GCLP	DE_EDDF
89.493	98.665	ES_GCLP	DE_EDDH
71.831	80.814	ES_GCLP	DE_EDDK
165.522	180.36	ES_GCLP	DE_EDDL
102.818	117.115	ES_GCLP	DE_EDDM
61.096	66.437	ES_GCLP	DE_EDDS
42.656	46.538	ES_GCLP	DE_EDDT
76.389	82.629	ES_GCLP	DE_EDDV
43.53	45.89	ES_GCLP	DK_EKBI
99.734	108.951	ES_GCLP	DK_EKCH
203.398	262.769	ES_GCLP	ES_GCFV
48.254	71.795	ES_GCLP	ES_GCLA
262.107	391.127	ES_GCLP	ES_GCRR
301.021	415.606	ES_GCLP	ES_GCXO
48.325	59.616	ES_GCLP	ES_LEBB
162.546	185.063	ES_GCLP	ES_LEBL
661.306	814.893	ES_GCLP	ES_LEMD
55.513	68.936	ES_GCLP	ES_LEMG
42.901	50.073	ES_GCLP	ES_LEST
87.716	105.48	ES_GCLP	ES_LEZL
95.426	103.153	ES_GCLP	FI_EFHK
44.369	50.775	ES_GCLP	FR_LFSB
61.597	70.376	ES_GCLP	IE_EIDW
145.759	192.385	ES_GCLP	NL_EHAM
148.016	166.107	ES_GCLP	NO_ENGM
61.516	65.767	ES_GCLP	SE_ESGG
147.056	158.289	ES_GCLP	SE_ESSA
60.042	69.951	ES_GCLP	UK_EGBB
103.544	112.202	ES_GCLP	UK_EGCC
141.311	153.83	ES_GCLP	UK_EGKK
38.873	43.061	ES_GCLP	UK_EGNX
51.648	56.101	ES_GCLP	UK_EGSS
67.506	78.023	ES_GCRR	DE_EDDL
263.512	389.7	ES_GCRR	ES_GCLP
125.655	156.969	ES_GCRR	ES_GCXO
52.951	66.948	ES_GCRR	ES_LEBB
74.839	86.985	ES_GCRR	ES_LEBL
205.064	244.21	ES_GCRR	ES_LEMD
45.084	52.201	ES_GCRR	IE_EICK
154.355	170.306	ES_GCRR	IE_EIDW
62.582	86.612	ES_GCRR	NL_EHAM
37.685	41.355	ES_GCRR	UK_EGAA
110.962	123.692	ES_GCRR	UK_EGBB
202.646	217.929	ES_GCRR	UK_EGCC
67.56	73.795	ES_GCRR	UK_EGGD
53.751	62.204	ES_GCRR	UK_EGGW
214.423	241.316	ES_GCRR	UK_EGKK
58.066	64.474	ES_GCRR	UK_EGNM
48.305	50.906	ES_GCRR	UK_EGNT
98.877	107.381	ES_GCRR	UK_EGNX
59.601	63.711	ES_GCRR	UK_EGPF
72.652	79.433	ES_GCRR	UK_EGSS
117.852	134.477	ES_GCTS	BE_EBBR
71.805	81.432	ES_GCTS	BE_EBCI
40.263	49.741	ES_GCTS	CH_LSZH
52.09	60.642	ES_GCTS	DE_EDDB
69.857	76.705	ES_GCTS	DE_EDDF
70.06	80.085	ES_GCTS	DE_EDDH
69.83	83.024	ES_GCTS	DE_EDDK
112.994	129.126	ES_GCTS	DE_EDDL
84.778	96.769	ES_GCTS	DE_EDDM
50.233	55.57	ES_GCTS	DE_EDDS
39.492	43.198	ES_GCTS	DE_EDDT
46.24	51.909	ES_GCTS	DE_EDDV
50.178	54.922	ES_GCTS	DK_EKCH
53.902	60.691	ES_GCTS	ES_LEBL
118.97	138.503	ES_GCTS	ES_LEMD
44.375	50.35	ES_GCTS	ES_LEST
67.315	71.983	ES_GCTS	FI_EFHK
37.555	43.922	ES_GCTS	FR_LFSB
75.753	84.764	ES_GCTS	IE_EIDW
38.52	45.166	ES_GCTS	IT_LIMC
53.815	60.959	ES_GCTS	IT_LIME
98.922	135.239	ES_GCTS	NL_EHAM
45.747	49.754	ES_GCTS	NO_ENGM
44.58	58.384	ES_GCTS	RU_UUEE
51.03	53.929	ES_GCTS	SE_ESSA
37.473	40.134	ES_GCTS	UK_EGAA
140.398	156.659	ES_GCTS	UK_EGBB
366.288	389.446	ES_GCTS	UK_EGCC
86.204	94.187	ES_GCTS	UK_EGGD
61.551	70.479	ES_GCTS	UK_EGGW
375.542	420.047	ES_GCTS	UK_EGKK
84.726	91.865	ES_GCTS	UK_EGNM
88.356	92.076	ES_GCTS	UK_EGNT
143.813	153.742	ES_GCTS	UK_EGNX
121.359	129.633	ES_GCTS	UK_EGPF
70.224	75.12	ES_GCTS	UK_EGPH
40.959	43.321	ES_GCTS	UK_EGPK
111.173	120.232	ES_GCTS	UK_EGSS
82.539	104.715	ES_GCXO	ES_GCFV
249.638	381.441	ES_GCXO	ES_GCLA
303.572	409.386	ES_GCXO	ES_GCLP
126.12	156.888	ES_GCXO	ES_GCRR
63.619	74.704	ES_GCXO	ES_LEBB
194.934	229.819	ES_GCXO	ES_LEBL
576.441	711.121	ES_GCXO	ES_LEMD
56.08	67.854	ES_GCXO	ES_LEMG
77.316	91.22	ES_GCXO	ES_LEZL
46.341	72.366	ES_GEML	ES_LEMD
96.042	166.108	ES_GEML	ES_LEMG
155.7	179.103	ES_LEAL	BE_EBBR
69.432	81.755	ES_LEAL	BE_EBCI
53.164	57.495	ES_LEAL	CH_LSGG
56.682	64.165	ES_LEAL	DE_EDDL
52.403	57.595	ES_LEAL	DE_EDLV
79.053	93.721	ES_LEAL	DK_EKCH
41.531	70.098	ES_LEAL	DZ_DAAG
58.492	103.029	ES_LEAL	DZ_DAOO
51.135	65.627	ES_LEAL	ES_LEBB
169.029	217.663	ES_LEAL	ES_LEBL
138.083	181.166	ES_LEAL	ES_LEMD
135.68	178.111	ES_LEAL	ES_LEPA
40.773	45.914	ES_LEAL	ES_LEST
82.345	105.059	ES_LEAL	FR_LFPO
46.758	49.568	ES_LEAL	FR_LFSB
87.912	97.85	ES_LEAL	IE_EIDW
38.99	46.245	ES_LEAL	IT_LIRF
142.594	155.946	ES_LEAL	NL_EHAM
97.786	108.807	ES_LEAL	NL_EHEH
54.521	58.905	ES_LEAL	NL_EHRD
134.923	155.814	ES_LEAL	NO_ENGM
54.208	64.291	ES_LEAL	NO_ENRY
69.93	85.363	ES_LEAL	RU_UUDD
48.185	55.496	ES_LEAL	SE_ESGG
43.431	48.016	ES_LEAL	SE_ESKN
81.109	93.443	ES_LEAL	SE_ESSA
57.303	62.709	ES_LEAL	UK_EGAA
151.829	166.215	ES_LEAL	UK_EGBB
317.659	340.319	ES_LEAL	UK_EGCC
39.613	43.486	ES_LEAL	UK_EGFF
135.58	146.431	ES_LEAL	UK_EGGD
107.748	114.708	ES_LEAL	UK_EGGP
107.675	118.681	ES_LEAL	UK_EGGW
385.529	425.98	ES_LEAL	UK_EGKK
49.351	53.065	ES_LEAL	UK_EGMC
139.222	148.136	ES_LEAL	UK_EGNM
117.208	125.263	ES_LEAL	UK_EGNT
190.429	204.428	ES_LEAL	UK_EGNX
94.354	101.92	ES_LEAL	UK_EGPF
74.893	80.633	ES_LEAL	UK_EGPH
38.193	40.922	ES_LEAL	UK_EGPK
112.197	120.797	ES_LEAL	UK_EGSS
23.767	27.181	ES_LEAM	BE_EBBR
10.897	12.435	ES_LEAM	BE_EBCI
50.66	60.193	ES_LEAM	ES_LEBL
87.958	125.74	ES_LEAM	ES_LEMD
14.741	27.033	ES_LEAM	ES_LEZL
10.36	12.046	ES_LEAM	IE_EIDW
25.102	27.66	ES_LEAM	UK_EGCC
45.907	49.053	ES_LEAM	UK_EGKK
11.747	12.818	ES_LEAM	UK_EGSS
13.865	17.765	ES_LEAS	ES_GCRR
17.957	22.2	ES_LEAS	ES_GCTS
12.542	17.545	ES_LEAS	ES_GCXO
11.792	14.561	ES_LEAS	ES_LEAL
129.127	154.847	ES_LEAS	ES_LEBL
