passengers	seats	code_dep	code_arr
8.612	:	AT_LOWG	AT_LOWL
36.498	:	AT_LOWG	AT_LOWW
20.466	:	AT_LOWG	CH_LSZH
57.368	:	AT_LOWG	DE_EDDF
7.479	:	AT_LOWG	DE_EDDM
10.061	:	AT_LOWG	EL_LGTS
10.574	:	AT_LOWG	ES_GCLP
11.893	:	AT_LOWI	AT_LOWS
48.955	:	AT_LOWI	AT_LOWW
20.588	:	AT_LOWI	CH_LSZH
28.486	:	AT_LOWI	DE_EDDF
8.152	:	AT_LOWI	TR_LTAI
9.489	:	AT_LOWI	UK_EGCC
19.246	:	AT_LOWI	UK_EGKK
9.483	:	AT_LOWI	UK_EGSS
47.738	:	AT_LOWK	AT_LOWW
11.151	:	AT_LOWK	CH_LSZH
16.498	:	AT_LOWK	DE_EDDF
19.14	:	AT_LOWL	AT_LOWW
19.707	:	AT_LOWL	CH_LSZH
54.11	:	AT_LOWL	DE_EDDF
13.443	:	AT_LOWL	DE_EDDL
8.938	:	AT_LOWL	EL_LGKR
9.955	:	AT_LOWL	ES_GCLP
8.548	:	AT_LOWL	ES_LEPA
7.81	:	AT_LOWL	IT_LIRA
20.56	:	AT_LOWL	TR_LTAI
14.967	:	AT_LOWS	AT_LOWW
35.156	:	AT_LOWS	CH_LSZH
54.304	:	AT_LOWS	DE_EDDF
16.76	:	AT_LOWS	DE_EDDL
10.542	:	AT_LOWS	EL_LGIR
14.57	:	AT_LOWS	ES_GCLP
17.444	:	AT_LOWS	ES_GCTS
14.229	:	AT_LOWS	ES_LEPA
16.365	:	AT_LOWS	NL_EHAM
21.041	:	AT_LOWS	TR_LTAI
12.295	:	AT_LOWS	UK_EGBB
33.017	:	AT_LOWS	UK_EGCC
11.696	:	AT_LOWS	UK_EGGD
62.37	:	AT_LOWS	UK_EGKK
46.174	:	AT_LOWW	AT_LOWI
46.83	:	AT_LOWW	AT_LOWK
115.953	:	AT_LOWW	BE_EBBS
37.543	:	AT_LOWW	BG_LBSF
52.781	:	AT_LOWW	CH_LSGG
191.08	:	AT_LOWW	CH_LSZH
45.239	:	AT_LOWW	CZ_LKPR
277.305	:	AT_LOWW	DE_EDDF
53.243	:	AT_LOWW	DE_EDDH
84.231	:	AT_LOWW	DE_EDDL
99.393	:	AT_LOWW	DE_EDDM
39.867	:	AT_LOWW	DE_EDDS
65.836	:	AT_LOWW	DE_EDDT
90.411	:	AT_LOWW	DK_EKCH
71.814	:	AT_LOWW	EL_LGAT
47.127	:	AT_LOWW	EL_LGTS
45.064	:	AT_LOWW	ES_LEBL
47.054	:	AT_LOWW	ES_LEMD
45.451	:	AT_LOWW	ES_LEPA
157.17	:	AT_LOWW	FR_LFPG
51.646	:	AT_LOWW	FR_LFPO
48.171	:	AT_LOWW	IL_LLBG
58.087	:	AT_LOWW	IT_LIML
73.702	:	AT_LOWW	IT_LIRF
154.796	:	AT_LOWW	NL_EHAM
58.185	:	AT_LOWW	PL_EPWA
42.011	:	AT_LOWW	RO_LROP
80.296	:	AT_LOWW	RU_UUEE
52.038	:	AT_LOWW	SE_ESSA
51.516	:	AT_LOWW	TH_VTBD
61.396	:	AT_LOWW	TR_LTAI
92.291	:	AT_LOWW	TR_LTBA
272.784	:	AT_LOWW	UK_EGGG
100.459	:	AT_LOWW	UK_EGKK
60.609	:	AT_LOWW	US_KJFK
17.634	:	UK_EGAA	CA_CYYZ
20.314	:	UK_EGAA	ES_GCLP
19.208	:	UK_EGAA	ES_GCRR
30.469	:	UK_EGAA	ES_GCTS
21.858	:	UK_EGAA	ES_LEMG
51.948	:	UK_EGAA	ES_LEPA
12.26	:	UK_EGAA	IE_EINN
15.175	:	UK_EGAA	NL_EHAM
21.779	:	UK_EGAA	PT_LPFR
11.512	:	UK_EGAA	US_KMCO
61.006	:	UK_EGBB	BE_EBBR
29.459	:	UK_EGBB	CH_LSZH
49.562	:	UK_EGBB	CY_LCLK
37.238	:	UK_EGBB	CY_LCPH
96.333	:	UK_EGBB	DE_EDDF
98.177	:	UK_EGBB	DE_EDDL
28.414	:	UK_EGBB	DE_EDDM
22.513	:	UK_EGBB	DK_EKCH
21.596	:	UK_EGBB	EL_LGIR
36.577	:	UK_EGBB	EL_LGKR
24.509	:	UK_EGBB	EL_LGRP
22.492	:	UK_EGBB	ES_GCFV
52.482	:	UK_EGBB	ES_GCLP
45.852	:	UK_EGBB	ES_GCRR
92.605	:	UK_EGBB	ES_GCTS
51.572	:	UK_EGBB	ES_LEAL
21.453	:	UK_EGBB	ES_LEAM
21.171	:	UK_EGBB	ES_LEBL
56.755	:	UK_EGBB	ES_LEIB
75.32	:	UK_EGBB	ES_LEMG
48.444	:	UK_EGBB	ES_LEMH
136.864	:	UK_EGBB	ES_LEPA
162.963	:	UK_EGBB	FR_LFPG
23.756	:	UK_EGBB	IE_EICK
220.77	:	UK_EGBB	IE_EIDW
24.774	:	UK_EGBB	IT_LIML
40.123	:	UK_EGBB	MT_LMML
115.217	:	UK_EGBB	NL_EHAM
69.003	:	UK_EGBB	PT_LPFR
28.299	:	UK_EGBB	TN_DTMB
24.218	:	UK_EGBB	TR_LTBJ
24.856	:	UK_EGBB	TR_LTBS
33.892	:	UK_EGBB	US_KJFK
27.907	:	UK_EGBB	US_KORD
117.474	:	UK_EGCC	BE_EBBR
56.966	:	UK_EGCC	CA_CYYZ
42.707	:	UK_EGCC	CH_LSGG
79.536	:	UK_EGCC	CH_LSZH
98.414	:	UK_EGCC	CY_LCLK
96.771	:	UK_EGCC	CY_LCPH
104.806	:	UK_EGCC	DE_EDDF
93.605	:	UK_EGCC	DE_EDDL
37.045	:	UK_EGCC	DE_EDDM
88.509	:	UK_EGCC	DK_EKCH
75.583	:	UK_EGCC	EL_LGIR
55.937	:	UK_EGCC	EL_LGKO
102.075	:	UK_EGCC	EL_LGKR
67.552	:	UK_EGCC	EL_LGRP
59.636	:	UK_EGCC	EL_LGZA
62.107	:	UK_EGCC	ES_GCFV
155.51	:	UK_EGCC	ES_GCLP
143.685	:	UK_EGCC	ES_GCRR
373.043	:	UK_EGCC	ES_GCTS
248.925	:	UK_EGCC	ES_LEAL
41.742	:	UK_EGCC	ES_LEAM
72.547	:	UK_EGCC	ES_LEGE
167.23	:	UK_EGCC	ES_LEIB
267.27	:	UK_EGCC	ES_LEMG
116.213	:	UK_EGCC	ES_LEMH
386.847	:	UK_EGCC	ES_LEPA
75.79	:	UK_EGCC	ES_LERS
207.252	:	UK_EGCC	FR_LFPG
273.322	:	UK_EGCC	IE_EIDW
37.144	:	UK_EGCC	IT_LIML
114.14	:	UK_EGCC	MT_LMML
209.284	:	UK_EGCC	NL_EHAM
69.492	:	UK_EGCC	PK_OPRN
185.028	:	UK_EGCC	PT_LPFR
54.14	:	UK_EGCC	TN_DTMB
83.209	:	UK_EGCC	TR_LTBJ
132.232	:	UK_EGCC	TR_LTBS
70.099	:	UK_EGCC	US_KATL
74.515	:	UK_EGCC	US_KJFK
152.61	:	UK_EGCC	US_KMCO
84.73	:	UK_EGCC	US_KORD
16.289	:	UK_EGFF	CY_LCLK
10.08	:	UK_EGFF	EL_LGIR
10.777	:	UK_EGFF	EL_LGRP
17.02	:	UK_EGFF	ES_GCLP
10.15	:	UK_EGFF	ES_GCRR
48.196	:	UK_EGFF	ES_GCTS
