passengers	seats	code_dep	code_arr
83.454	90.614	ES_GCFV	DE_EDDF
53.757	59.004	ES_GCFV	DE_EDDH
36.862	40.451	ES_GCFV	DE_EDDK
109.649	120.977	ES_GCFV	DE_EDDL
55.391	60.614	ES_GCFV	DE_EDDM
34.479	35.746	ES_GCFV	DE_EDDN
53.569	56.716	ES_GCFV	DE_EDDS
29.9	32.317	ES_GCFV	DE_EDDT
54.409	58.943	ES_GCFV	DE_EDDV
329.129	514.428	ES_GCFV	ES_GCLP
13.655	27.084	ES_GCFV	ES_GCRR
34.802	71.239	ES_GCFV	ES_GCTS
115.932	189.698	ES_GCFV	ES_GCXO
185.047	229.269	ES_GCFV	ES_LEMD
34.849	39.407	ES_GCFV	IE_EIDW
31.154	35.875	ES_GCFV	IT_LIMC
67.267	81.03	ES_GCFV	NL_EHAM
38.944	41.006	ES_GCFV	UK_EGBB
96.82	104.968	ES_GCFV	UK_EGCC
96.02	104.495	ES_GCFV	UK_EGKK
23.161	25.796	ES_GCFV	UK_EGNT
28.276	30.91	ES_GCFV	UK_EGNX
23.673	24.978	ES_GCFV	UK_EGPF
13.307	19.484	ES_GCHI	ES_GCLP
67.911	90.073	ES_GCHI	ES_GCXO
13.234	16.811	ES_GCLA	DE_EDDF
5.398	12.134	ES_GCLA	DE_EDDL
26.542	32.983	ES_GCLA	DE_EDDM
11.906	12.897	ES_GCLA	DE_EDDN
11.982	13.075	ES_GCLA	DE_EDDS
9.901	20.427	ES_GCLA	ES_GCFV
65.222	105.18	ES_GCLA	ES_GCLP
15.032	35.321	ES_GCLA	ES_GCTS
302.667	481.007	ES_GCLA	ES_GCXO
48.637	65.226	ES_GCLA	ES_LEMD
15.143	19.315	ES_GCLA	NL_EHAM
48.72	56.415	ES_GCLP	BE_EBBR
108.348	137.675	ES_GCLP	DE_EDDF
61.556	77.675	ES_GCLP	DE_EDDH
36.992	44.213	ES_GCLP	DE_EDDK
101.158	124.747	ES_GCLP	DE_EDDL
80.898	100.603	ES_GCLP	DE_EDDM
70.851	85.788	ES_GCLP	DE_EDDS
57.374	69.223	ES_GCLP	DE_EDDV
49.14	51.67	ES_GCLP	DK_EKBI
73.804	79.65	ES_GCLP	DK_EKCH
319.283	499.924	ES_GCLP	ES_GCFV
65.0	96.037	ES_GCLP	ES_GCLA
302.515	442.16	ES_GCLP	ES_GCRR
102.877	224.613	ES_GCLP	ES_GCTS
361.212	568.614	ES_GCLP	ES_GCXO
40.151	50.121	ES_GCLP	ES_LEBB
154.085	204.053	ES_GCLP	ES_LEBL
722.495	907.502	ES_GCLP	ES_LEMD
38.133	56.02	ES_GCLP	ES_LEMG
73.32	92.598	ES_GCLP	ES_LEZL
81.452	88.916	ES_GCLP	FI_EFHK
73.269	79.653	ES_GCLP	IE_EIDW
150.761	178.018	ES_GCLP	NL_EHAM
111.306	121.353	ES_GCLP	NO_ENGM
79.12	84.347	ES_GCLP	SE_ESSA
54.087	57.957	ES_GCLP	UK_EGBB
150.02	165.179	ES_GCLP	UK_EGCC
147.37	167.413	ES_GCLP	UK_EGKK
46.834	50.775	ES_GCLP	UK_EGNX
55.829	60.192	ES_GCLP	UK_EGPF
45.229	51.432	ES_GCRR	DE_EDDF
50.44	59.567	ES_GCRR	DE_EDDL
87.19	159.481	ES_GCRR	ES_GCFV
331.863	506.266	ES_GCRR	ES_GCLP
135.746	193.427	ES_GCRR	ES_GCXO
56.385	64.461	ES_GCRR	ES_LEBB
101.778	126.811	ES_GCRR	ES_LEBL
292.499	369.056	ES_GCRR	ES_LEMD
108.031	114.512	ES_GCRR	IE_EIDW
36.928	47.082	ES_GCRR	NL_EHAM
72.771	76.005	ES_GCRR	UK_EGBB
203.739	220.385	ES_GCRR	UK_EGCC
188.255	212.174	ES_GCRR	UK_EGKK
46.76	49.483	ES_GCRR	UK_EGNX
58.165	61.683	ES_GCRR	UK_EGPF
107.718	119.758	ES_GCTS	BE_EBBR
97.659	116.974	ES_GCTS	DE_EDDF
55.094	72.783	ES_GCTS	DE_EDDH
87.0	104.856	ES_GCTS	DE_EDDL
84.574	101.342	ES_GCTS	DE_EDDM
41.765	48.14	ES_GCTS	DE_EDDN
62.846	70.589	ES_GCTS	DE_EDDS
44.577	52.532	ES_GCTS	DE_EDDV
47.656	52.543	ES_GCTS	DK_EKCH
110.906	257.636	ES_GCTS	ES_GCLP
84.665	111.254	ES_GCTS	ES_LEBB
93.772	123.823	ES_GCTS	ES_LEBL
236.178	299.089	ES_GCTS	ES_LEMD
41.556	53.991	ES_GCTS	ES_LEMG
45.943	54.737	ES_GCTS	ES_LEST
52.983	55.788	ES_GCTS	FI_EFHK
57.508	64.309	ES_GCTS	IE_EIDW
94.161	118.229	ES_GCTS	NL_EHAM
37.285	41.106	ES_GCTS	UK_EGAA
141.78	160.815	ES_GCTS	UK_EGBB
407.55	451.941	ES_GCTS	UK_EGCC
40.152	42.49	ES_GCTS	UK_EGFF
65.356	71.884	ES_GCTS	UK_EGGD
78.695	100.504	ES_GCTS	UK_EGGW
303.072	346.991	ES_GCTS	UK_EGKK
44.347	51.437	ES_GCTS	UK_EGNM
80.094	86.903	ES_GCTS	UK_EGNT
65.123	70.07	ES_GCTS	UK_EGNX
149.647	161.366	ES_GCTS	UK_EGPF
79.652	89.572	ES_GCTS	UK_EGSS
111.985	181.392	ES_GCXO	ES_GCFV
68.154	90.212	ES_GCXO	ES_GCHI
297.326	480.933	ES_GCXO	ES_GCLA
366.913	567.095	ES_GCXO	ES_GCLP
140.934	193.978	ES_GCXO	ES_GCRR
22.49	24.037	ES_GCXO	ES_LEBB
166.839	218.596	ES_GCXO	ES_LEBL
583.002	754.908	ES_GCXO	ES_LEMD
94.279	110.388	ES_GCXO	ES_LEZL
12.665	19.655	ES_GEML	ES_LEAM
10.451	18.277	ES_GEML	ES_LEGR
35.563	56.812	ES_GEML	ES_LEMD
89.818	150.21	ES_GEML	ES_LEMG
61.005	67.065	ES_LEAL	BE_EBBR
46.109	55.876	ES_LEAL	CH_LSGG
41.125	49.111	ES_LEAL	CH_LSZM
48.391	55.634	ES_LEAL	DE_EDDF
82.417	113.84	ES_LEAL	DE_EDDL
41.833	49.891	ES_LEAL	DE_EDLW
40.876	54.859	ES_LEAL	DK_EKCH
239.66	397.812	ES_LEAL	ES_LEBL
417.319	597.445	ES_LEAL	ES_LEMD
170.138	241.943	ES_LEAL	ES_LEPA
44.239	57.199	ES_LEAL	FR_LFPO
75.552	87.554	ES_LEAL	IE_EIDW
107.117	127.285	ES_LEAL	NL_EHAM
53.56	65.366	ES_LEAL	NL_EHRD
96.341	111.339	ES_LEAL	NO_ENGM
46.414	57.518	ES_LEAL	SE_ESSA
47.957	55.357	ES_LEAL	UK_EGAA
134.761	156.872	ES_LEAL	UK_EGBB
359.019	413.803	ES_LEAL	UK_EGCC
43.165	51.412	ES_LEAL	UK_EGCN
82.752	96.857	ES_LEAL	UK_EGFF
103.054	121.358	ES_LEAL	UK_EGGD
70.546	78.718	ES_LEAL	UK_EGGP
145.021	181.269	ES_LEAL	UK_EGGW
373.289	441.473	ES_LEAL	UK_EGKK
90.397	102.863	ES_LEAL	UK_EGNM
107.583	121.25	ES_LEAL	UK_EGNT
131.865	149.119	ES_LEAL	UK_EGNX
134.371	151.335	ES_LEAL	UK_EGPF
