passengers	seats	code_dep	code_arr
16.813	28.382	ES_GCFV	BE_EBBR
23.023	28.677	ES_GCFV	CH_LSZH
89.647	97.893	ES_GCFV	DE_EDDF
69.658	77.647	ES_GCFV	DE_EDDH
35.972	42.877	ES_GCFV	DE_EDDK
130.206	144.788	ES_GCFV	DE_EDDL
53.353	60.789	ES_GCFV	DE_EDDM
27.741	32.745	ES_GCFV	DE_EDDN
25.482	29.742	ES_GCFV	DE_EDDP
54.328	58.923	ES_GCFV	DE_EDDS
34.748	40.963	ES_GCFV	DE_EDDT
56.542	62.536	ES_GCFV	DE_EDDV
31.059	36.877	ES_GCFV	DE_EDLP
22.409	23.885	ES_GCFV	DK_EKCH
238.454	348.749	ES_GCFV	ES_GCLP
79.239	124.611	ES_GCFV	ES_GCXO
24.817	31.124	ES_GCFV	ES_LEBL
123.231	146.536	ES_GCFV	ES_LEMD
46.181	52.332	ES_GCFV	FR_LFPG
31.563	37.914	ES_GCFV	IE_EIDW
26.391	31.608	ES_GCFV	IT_LIME
46.525	67.811	ES_GCFV	NL_EHAM
25.933	27.95	ES_GCFV	PL_EPWA
20.104	20.829	ES_GCFV	SE_ESSA
47.241	53.318	ES_GCFV	UK_EGBB
68.913	74.613	ES_GCFV	UK_EGCC
29.231	35.214	ES_GCFV	UK_EGGD
32.854	37.702	ES_GCFV	UK_EGGP
58.627	63.087	ES_GCFV	UK_EGKK
36.305	41.326	ES_GCFV	UK_EGNX
21.412	23.795	ES_GCFV	UK_EGPF
39.664	46.733	ES_GCFV	UK_EGSS
9.36	24.67	ES_GCHI	ES_GCLP
66.311	107.387	ES_GCHI	ES_GCXO
12.053	14.203	ES_GCLA	DE_EDDF
9.753	14.282	ES_GCLA	DE_EDDH
22.881	31.079	ES_GCLA	DE_EDDL
10.702	12.968	ES_GCLA	DE_EDDT
44.412	75.856	ES_GCLA	ES_GCLP
267.357	405.221	ES_GCLA	ES_GCXO
38.196	47.804	ES_GCLA	ES_LEMD
17.005	25.68	ES_GCLA	NL_EHAM
45.205	61.96	ES_GCLP	BE_EBBR
49.469	62.711	ES_GCLP	CH_LSZH
38.478	43.522	ES_GCLP	CH_LSZM
83.473	92.536	ES_GCLP	DE_EDDF
80.131	91.632	ES_GCLP	DE_EDDH
47.832	57.487	ES_GCLP	DE_EDDK
128.77	147.072	ES_GCLP	DE_EDDL
63.318	71.124	ES_GCLP	DE_EDDM
63.497	73.117	ES_GCLP	DE_EDDS
37.912	44.192	ES_GCLP	DE_EDDT
61.522	71.874	ES_GCLP	DE_EDDV
50.886	56.495	ES_GCLP	DK_EKBI
85.911	96.385	ES_GCLP	DK_EKCH
240.226	349.034	ES_GCLP	ES_GCFV
46.829	76.074	ES_GCLP	ES_GCLA
250.294	363.13	ES_GCLP	ES_GCRR
307.082	471.52	ES_GCLP	ES_GCXO
46.768	56.374	ES_GCLP	ES_LEBB
161.936	190.808	ES_GCLP	ES_LEBL
664.357	802.604	ES_GCLP	ES_LEMD
48.563	59.402	ES_GCLP	ES_LEMG
38.914	47.235	ES_GCLP	ES_LEST
91.489	118.575	ES_GCLP	ES_LEZL
108.292	116.819	ES_GCLP	FI_EFHK
64.722	75.43	ES_GCLP	IE_EIDW
131.513	191.635	ES_GCLP	NL_EHAM
